2026-05-15T02:59:07+00:00 | sec=247 | BUY    | Down       | price=0.51       | size=5.4        | usd=2.754     
2026-05-15T02:59:07+00:00 | sec=247 | BUY    | Down       | price=0.51       | size=3.0        | usd=1.53      
2026-05-15T02:59:09+00:00 | sec=249 | BUY    | Down       | price=0.51       | size=5.88       | usd=2.9988    
2026-05-15T02:59:09+00:00 | sec=249 | BUY    | Down       | price=0.5100000196000032 | size=10.20408   | usd=5.204081  
2026-05-15T02:59:09+00:00 | sec=249 | BUY    | Down       | price=0.5100001715001115 | size=2.040815   | usd=1.040816  
2026-05-15T02:59:11+00:00 | sec=251 | BUY    | Down       | price=0.51       | size=8.73       | usd=4.4523    
2026-05-15T02:59:21+00:00 | sec=261 | BUY    | Down       | price=0.85       | size=24.0       | usd=20.4      
2026-05-15T02:59:21+00:00 | sec=261 | BUY    | Down       | price=0.85       | size=0.39       | usd=0.3315    
2026-05-15T02:59:21+00:00 | sec=261 | BUY    | Down       | price=0.85       | size=14.5       | usd=12.325    
2026-05-15T02:59:21+00:00 | sec=261 | BUY    | Down       | price=0.85       | size=20.77      | usd=17.6545   
2026-05-15T02:59:21+00:00 | sec=261 | BUY    | Down       | price=0.85       | size=14.73      | usd=12.5205   
2026-05-15T02:59:23+00:00 | sec=263 | BUY    | Down       | price=0.8500031690364017 | size=0.236665   | usd=0.201166  
2026-05-15T02:59:23+00:00 | sec=263 | BUY    | Down       | price=0.85       | size=4.88       | usd=4.148     
2026-05-15T02:59:23+00:00 | sec=263 | BUY    | Down       | price=0.85       | size=20.73      | usd=17.6205   
2026-05-15T02:59:25+00:00 | sec=265 | BUY    | Down       | price=0.85       | size=7.81       | usd=6.6385    
2026-05-15T02:59:25+00:00 | sec=265 | BUY    | Down       | price=0.86       | size=49.0       | usd=42.14     
