2026-05-15T01:40:34+00:00 | sec=34  | BUY    | Down       | price=0.37       | size=1.5873     | usd=0.587301   | ext_id=raw:9970f700a21be1e8c2ff1e94024145ab95faa888
2026-05-15T01:40:36+00:00 | sec=36  | BUY    | Down       | price=0.37       | size=42.41      | usd=15.6917    | ext_id=raw:6ed1cfedfb2598885e5b17007fd6551961229f8b
2026-05-15T01:40:36+00:00 | sec=36  | BUY    | Down       | price=0.37       | size=6.0        | usd=2.22       | ext_id=raw:f4c7aa2ab5606b5d53ccd42c4f39c15fac034546
2026-05-15T01:40:38+00:00 | sec=38  | BUY    | Down       | price=0.37000006300001337 | size=5.079364   | usd=1.879365   | ext_id=raw:5c91925d3f2777364817c844d2ed656e9a6f59ef
2026-05-15T01:40:38+00:00 | sec=38  | BUY    | Down       | price=0.37       | size=1.5873     | usd=0.587301   | ext_id=raw:e134fab8aa888c98b4268bf61ba8689ad4a134a3
2026-05-15T01:40:38+00:00 | sec=38  | BUY    | Down       | price=0.37       | size=1.5873     | usd=0.587301   | ext_id=raw:e1bbb928453fad91c62d926b031c88fba2563df6
2026-05-15T01:40:38+00:00 | sec=38  | BUY    | Down       | price=0.37000000759095675 | size=26.34714   | usd=9.748442   | ext_id=raw:f35b1d931f5e1fff76d5be63963e9c58c4ddbb3e
2026-05-15T01:40:40+00:00 | sec=40  | BUY    | Down       | price=0.37       | size=1.5873     | usd=0.587301   | ext_id=raw:1d8ed77c84bde175f8089a7b76f20009c6231ddf
2026-05-15T01:40:40+00:00 | sec=40  | BUY    | Down       | price=0.370000018900007 | size=7.936505   | usd=2.936507   | ext_id=raw:31a0e43800d4cc96fc40fe56c4a8d9af712b7060
2026-05-15T01:40:40+00:00 | sec=40  | BUY    | Down       | price=0.37       | size=25.3       | usd=9.361      | ext_id=raw:59ec158bfd092adf841fc071777bd42a8bd50946
2026-05-15T01:40:40+00:00 | sec=40  | BUY    | Down       | price=0.37       | size=1.5873     | usd=0.587301   | ext_id=raw:7aa48b936968db7262eec5c64943d201dc826ce4
2026-05-15T01:40:40+00:00 | sec=40  | BUY    | Down       | price=0.37       | size=4.27       | usd=1.5799     | ext_id=raw:c6bc71976cb07a9c5f3662146559166d46cca7fd
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.5        | size=29.18      | usd=14.59      | ext_id=raw:09a945927cd9e52af1d18a597be5677697ceedd8
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.55       | size=10.25      | usd=5.6375     | ext_id=raw:2100c61e4059978d17085652d4ea033baf1c14b9
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.5        | size=5.0        | usd=2.5        | ext_id=raw:288585cc398cba2def75d87a5cba98ca3589c303
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.57       | size=17.11      | usd=9.7527     | ext_id=raw:52856e66b014bdf7539f4ebe097769d19a561120
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.5        | size=6.0        | usd=3.0        | ext_id=raw:550e77990e6d0a7806f3d10b7dddf5c942c7672b
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.55       | size=39.75      | usd=21.8625    | ext_id=raw:888be29e838a558f42dd3db5d357c7f77d47afa2
