2026-05-15T04:15:34+00:00 | sec=34  | BUY    | Down       | price=0.32       | size=2.0        | usd=0.64       | ext_id=raw:a19b8fdfe854b9b6bba1bf35a72150853b9b8ea9
2026-05-15T04:15:34+00:00 | sec=34  | BUY    | Down       | price=0.32       | size=0.16       | usd=0.0512     | ext_id=raw:f9cb545acbb950b0595f7295163a2c485a3b4006
2026-05-15T04:15:36+00:00 | sec=36  | BUY    | Down       | price=0.32       | size=5.0        | usd=1.6        | ext_id=raw:05d2bc66a6e76d444e13ad6e9c20f396570a4d48
2026-05-15T04:15:36+00:00 | sec=36  | BUY    | Down       | price=0.3200000078840602 | size=5.073528   | usd=1.623529   | ext_id=raw:a0953725f3f1af1b3eb10fe63a23b1069b561f89
2026-05-15T04:15:43+00:00 | sec=43  | BUY    | Up         | price=0.67000001915916 | size=30.272726  | usd=20.282727  | ext_id=raw:14f76d4aa2980f0feb730ac27428b21b751e8f97
2026-05-15T04:15:43+00:00 | sec=43  | BUY    | Up         | price=0.66       | size=50.0       | usd=33.0       | ext_id=raw:170fc88b8590fab4a48cfe4cd7e6d54db286f5bc
2026-05-15T04:15:43+00:00 | sec=43  | BUY    | Up         | price=0.64       | size=50.0       | usd=32.0       | ext_id=raw:2837869068a8954efca8b827efaed2d631e15c24
2026-05-15T04:15:43+00:00 | sec=43  | BUY    | Up         | price=0.670000217800074 | size=3.030302   | usd=2.030303   | ext_id=raw:3be01830ac220bd11b3106e43c16c5b871295383
2026-05-15T04:15:43+00:00 | sec=43  | BUY    | Up         | price=0.6700001456672057 | size=3.913029   | usd=2.62173    | ext_id=raw:3ebb98b5d9c1e444bc9a76f7b4c4a13862315fd1
2026-05-15T04:15:43+00:00 | sec=43  | BUY    | Up         | price=0.67       | size=12.76      | usd=8.5492     | ext_id=raw:5d13d414e799f916d8653a9e89f013fdb00592db
2026-05-15T04:15:43+00:00 | sec=43  | BUY    | Up         | price=0.65       | size=50.0       | usd=32.5       | ext_id=raw:87f3b38ba55f08afd23ffbc651d8fd6c733afabf
2026-05-15T04:15:44+00:00 | sec=44  | BUY    | Up         | price=0.65       | size=50.0       | usd=32.5       | ext_id=raw:188543c9f372f9a273511587e3cab45648bf1a06
2026-05-15T04:15:44+00:00 | sec=44  | BUY    | Down       | price=0.32       | size=41.0       | usd=13.12      | ext_id=raw:5db5f6e66d3ca87a24755a2ca10b45342fd3a17e
2026-05-15T04:15:44+00:00 | sec=44  | BUY    | Up         | price=0.61       | size=50.0       | usd=30.5       | ext_id=raw:77196baf65e648e2f839f0147b2cd75f6b6413db
2026-05-15T04:15:44+00:00 | sec=44  | BUY    | Up         | price=0.62       | size=50.0       | usd=31.0       | ext_id=raw:890e240e6da77a82e15457418dfd3f1ecc8061d5
2026-05-15T04:15:44+00:00 | sec=44  | BUY    | Up         | price=0.63       | size=50.0       | usd=31.5       | ext_id=raw:a677ffd590135ad567adbc019d16a555728d26de
2026-05-15T04:15:44+00:00 | sec=44  | BUY    | Up         | price=0.67       | size=50.0       | usd=33.5       | ext_id=raw:b0f65cab8c93c68fda7e6742639741927ebcbe6f
2026-05-15T04:15:44+00:00 | sec=44  | BUY    | Down       | price=0.32       | size=9.0        | usd=2.88       | ext_id=raw:bbba748c5ae29923958cd37dd775ced1996a5836
2026-05-15T04:15:46+00:00 | sec=46  | BUY    | Down       | price=0.27000001241000104 | size=13.698629  | usd=3.69863    | ext_id=raw:3d302b34a58e6fc6e7a6e3c38febef7d71c12c1c
2026-05-15T04:15:46+00:00 | sec=46  | BUY    | Down       | price=0.2700000584000148 | size=4.109588   | usd=1.109589   | ext_id=raw:ad416e6632668aacf1df7a1c7bc0e3c0bf95cb9d
2026-05-15T04:15:46+00:00 | sec=46  | BUY    | Down       | price=0.2700000316531323 | size=5.054792   | usd=1.364794   | ext_id=raw:ce1da09465a8dc47e51d96b80c37c53eb57c287a
2026-05-15T04:15:46+00:00 | sec=46  | BUY    | Down       | price=0.27000018980014046 | size=1.369862   | usd=0.369863   | ext_id=raw:f2c6c1b63af8f9686ebb0dcb047453d7dd422186
2026-05-15T04:15:46+00:00 | sec=46  | BUY    | Down       | price=0.27000018980014046 | size=1.369862   | usd=0.369863   | ext_id=raw:f6a3f8ab795fac34c982617564eef0930ad2a8ec
2026-05-15T04:15:46+00:00 | sec=46  | BUY    | Down       | price=0.27000018980014046 | size=1.369862   | usd=0.369863   | ext_id=raw:fbd3fb2870e647097f9b783b1dc26193ad79578b
2026-05-15T04:15:48+00:00 | sec=48  | BUY    | Down       | price=0.27       | size=5.0        | usd=1.35       | ext_id=raw:2946aaced8336ea8c8cab46b1a38e32fea4bcb7e
2026-05-15T04:15:48+00:00 | sec=48  | BUY    | Down       | price=0.2700001189630317 | size=1.849314   | usd=0.499315   | ext_id=raw:2e9f0b6d9656bd94eab2f4c54798052678f3d77b
2026-05-15T04:15:50+00:00 | sec=50  | BUY    | Down       | price=0.27       | size=7.8        | usd=2.106      | ext_id=raw:09c9110567f93eaea14cb033deb0f29edc03ba91
2026-05-15T04:15:50+00:00 | sec=50  | BUY    | Down       | price=0.27000018980014046 | size=1.369862   | usd=0.369863   | ext_id=raw:d1344766a8a6a21ef8cd444b08a3fed8522e6462
2026-05-15T04:15:50+00:00 | sec=50  | BUY    | Down       | price=0.27       | size=7.0        | usd=1.89       | ext_id=raw:f8a23a426106d656227e2c718068cd600dcac5f5
2026-05-15T04:15:51+00:00 | sec=51  | BUY    | Up         | price=0.56       | size=1.82       | usd=1.0192     | ext_id=raw:0f693394200bef5bfe7683c629359204c3a3a3d3
2026-05-15T04:15:51+00:00 | sec=51  | BUY    | Up         | price=0.57       | size=30.0       | usd=17.1       | ext_id=raw:75d362badc2733d9d1e64378fbce0c5da7fdaa38
2026-05-15T04:15:51+00:00 | sec=51  | BUY    | Up         | price=0.57       | size=15.15      | usd=8.6355     | ext_id=raw:76df342672849e149dbfb8b2c07a78e4d479d6c0
2026-05-15T04:15:51+00:00 | sec=51  | BUY    | Up         | price=0.57       | size=4.85       | usd=2.7645     | ext_id=raw:91bd2a4fddc38da19fb498eda8099e2b38b02183
2026-05-15T04:15:51+00:00 | sec=51  | BUY    | Up         | price=0.560000053822644 | size=5.945453   | usd=3.329454   | ext_id=raw:c70e383415e98ee2eb5b156b69c8ca0497291efb
2026-05-15T04:15:51+00:00 | sec=51  | BUY    | Up         | price=0.56       | size=0.07       | usd=0.0392     | ext_id=raw:ce544535ebb970aac9264f578008d1ac9ee0aa24
2026-05-15T04:15:53+00:00 | sec=53  | BUY    | Down       | price=0.4        | size=2.616665   | usd=1.046666   | ext_id=raw:31a1451c6728c1b1ec64a15b990737f10a5f8605
